"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
11,"1","2025-01-25T12:16:07.949331Z",118,"[{""start"":0,""end"":8,""text"":""Rashford"",""labels"":[""PLAYR""]}]",10.584,"Rashford decided against a permanent transfer to Saudi Arabia, where several clubs were interested, and other options have been explored.","2025-01-25T12:16:07.949331Z"
12,"1","2025-01-25T12:16:16.543506Z",119,"[{""start"":10,""end"":15,""text"":""Milan"",""labels"":[""TEAM""]},{""start"":59,""end"":70,""text"":""Kyle Walker"",""labels"":[""PLAYR""]},{""start"":76,""end"":91,""text"":""Manchester City"",""labels"":[""TEAM""]}]",8.198,"A loan to Milan proved unworkable because they are signing Kyle Walker from Manchester City until the end of the season.","2025-01-25T12:16:16.543506Z"
13,"1","2025-01-25T12:16:45.063432Z",120,"[{""start"":233,""end"":246,""text"":""Bayern Munich"",""labels"":[""TEAM""]},{""start"":249,""end"":259,""text"":""Harry Kane"",""labels"":[""PLAYR""]},{""start"":264,""end"":280,""text"":""Bayer Leverkusen"",""labels"":[""TEAM""]},{""start"":283,""end"":296,""text"":""Florian Wirtz"",""labels"":[""PLAYR""]}]",28.083,"With 27 Bundesliga goals and 15 assists across 1½ seasons at Eintracht, plus a handful more of each in Europe, the forward reveled in the spotlight and leads the league for goal contributions this season, outpacing megastars such as Bayern Munich's Harry Kane and Bayer Leverkusen's Florian Wirtz.","2025-01-25T12:16:45.063432Z"
14,"1","2025-01-25T12:17:59.449511Z",121,"[{""start"":28,""end"":32,""text"":""City"",""labels"":[""TEAM""]}]",73.963,"There have been times where City have simply looked a bit old and a bit slow, and that bears out in another statistic: Their successful take-on rate per 90 minutes is 48.4%, again the lowest of the Guardiola era.","2025-01-25T12:17:59.449511Z"
15,"1","2025-01-25T12:18:10.022219Z",122,"[{""start"":166,""end"":184,""text"":""Abdukodir Khusanov"",""labels"":[""PLAYR""]}]",10.113,"The Lens scout who travelled to the Under-20 Asian Cup in Uzbekistan in March 2023 went with one mission: to confirm the talent of 19-year-old Uzbekistan centre-back Abdukodir Khusanov.","2025-01-25T12:18:10.022219Z"
16,"1","2025-01-25T12:18:44.827372Z",123,"[{""start"":39,""end"":47,""text"":""Khusanov"",""labels"":[""PLAYR""]}]",34.37,"The club had a three-year plan to make Khusanov into one of the best centre-backs in France, but it took only 18 months.","2025-01-25T12:18:44.827372Z"
17,"1","2025-01-25T12:18:59.286597Z",124,"[{""start"":70,""end"":81,""text"":""Kevin Danso"",""labels"":[""PLAYR""]},{""start"":86,""end"":101,""text"":""Neil El Aynaoui"",""labels"":[""PLAYR""]},{""start"":113,""end"":117,""text"":""Lens"",""labels"":[""TEAM""]}]",14.035,"After missing out on €40m in transfer fees last summer when exits for Kevin Danso and Neil El Aynaoui collapsed, Lens needed to bring in funds to balance their books this January.","2025-01-25T12:18:59.286597Z"
18,"1","2025-01-25T12:19:46.835048Z",125,"[{""start"":71,""end"":86,""text"":""Manchester City"",""labels"":[""TEAM""]}]",47.075,"One of the world's top agents, Jorge Mendes, brokered the transfer and Manchester City moved quickly this month to bolster their ailing defence.","2025-01-25T12:19:46.835048Z"
19,"1","2025-01-25T12:20:19.635909Z",126,"[{""start"":0,""end"":15,""text"":""Plymouth Argyle"",""labels"":[""TEAM""]},{""start"":24,""end"":40,""text"":""Morgan Whittaker"",""labels"":[""PLAYR""]},{""start"":112,""end"":119,""text"":""Burnley"",""labels"":[""TEAM""]}]",32.389,"Plymouth Argyle forward Morgan Whittaker missed his side's 5-0 Championship loss to touted transfer destination Burnley as he ""did not show up"" in time for the game.","2025-01-25T12:20:19.635909Z"
20,"1","2025-01-25T12:22:57.677963Z",127,"[{""start"":0,""end"":9,""text"":""Whittaker"",""labels"":[""PLAYR""]},{""start"":22,""end"":28,""text"":""Argyle"",""labels"":[""TEAM""]}]",157.574,"Whittaker, who scored Argyle's winning goal in the FA Cup third-round tie at Brentford this month, was spotted in the stands during the game.","2025-01-25T12:22:57.677963Z"
21,"1","2025-01-25T12:23:22.103515Z",128,"[{""start"":0,""end"":16,""text"":""Heather O'Reilly"",""labels"":[""PLAYR""]}]",24.009,"Heather O'Reilly had scored the game's final goal, dragging world number ones and two-time champions United States to a 2-2 draw in their opening match at the 2007 Women's World Cup.","2025-01-25T12:23:22.103515Z"
22,"1","2025-01-25T12:23:31.272367Z",129,"[{""start"":0,""end"":6,""text"":""Celtic"",""labels"":[""TEAM""]},{""start"":88,""end"":100,""text"":""Loris Benito"",""labels"":[""PLAYR""]},{""start"":149,""end"":159,""text"":""Young Boys"",""labels"":[""TEAM""]}]",8.752,"Celtic clinched Champions League knockout football for the first time in 12 years after Loris Benito's late own goal secured a dramatic victory over Young Boys on a nerve-shredding night in Glasgow.","2025-01-25T12:23:31.272367Z"
23,"1","2025-01-25T12:23:54.298126Z",130,"[{""start"":96,""end"":101,""text"":""Kyogo"",""labels"":[""PLAYR""]},{""start"":200,""end"":215,""text"":""Callum McGregor"",""labels"":[""PLAYR""]}]",22.614,"That sparked frenzied celebrations in the stands after an incredible first half of frustration. Kyogo had strayed offside for his first disallowed goal, while the second was ruled out after a foul by Callum McGregor in the build-up","2025-01-25T12:23:54.298126Z"
24,"1","2025-01-25T12:24:02.365421Z",131,"[{""start"":0,""end"":13,""text"":""Kylian Mbappe"",""labels"":[""PLAYR""]},{""start"":30,""end"":41,""text"":""Real Madrid"",""labels"":[""TEAM""]},{""start"":67,""end"":77,""text"":""Las Palmas"",""labels"":[""TEAM""]}]",7.713,"Kylian Mbappe scored twice as Real Madrid came from behind to beat Las Palmas and go top of La Liga.","2025-01-25T12:24:02.365421Z"
25,"1","2025-01-25T12:24:15.311796Z",132,"[{""start"":0,""end"":4,""text"":""Real"",""labels"":[""TEAM""]},{""start"":96,""end"":102,""text"":""Mbappe"",""labels"":[""PLAYR""]},{""start"":128,""end"":143,""text"":""Jude Bellingham"",""labels"":[""PLAYR""]}]",12.542,"Real had three goals ruled out for offside, including what would have been a hat-trick goal for Mbappe while England midfielder Jude Bellingham missed a host of chances.","2025-01-25T12:24:15.311796Z"
26,"1","2025-01-25T12:24:22.528085Z",133,"[{""start"":0,""end"":11,""text"":""Real Madrid"",""labels"":[""TEAM""]},{""start"":20,""end"":33,""text"":""Kylian Mbappe"",""labels"":[""PLAYR""]}]",6.757,"Real Madrid striker Kylian Mbappe says a ""mentality issue"" prevented him from finding his best form earlier this season.","2025-01-25T12:24:22.528085Z"
27,"1","2025-01-25T12:25:03.402902Z",134,"[{""start"":41,""end"":50,""text"":""Liverpool"",""labels"":[""TEAM""]},{""start"":79,""end"":94,""text"":""Athletic Bilbao"",""labels"":[""TEAM""]},{""start"":112,""end"":118,""text"":""Madrid"",""labels"":[""TEAM""]}]",40.432,"That run included penalty misses against Liverpool in the Champions League and Athletic Bilbao in La Liga, with Madrid losing both matches.","2025-01-25T12:25:03.402902Z"
28,"1","2025-01-25T12:25:52.531541Z",135,"[{""start"":16,""end"":24,""text"":""Seagulls"",""labels"":[""TEAM""]},{""start"":90,""end"":96,""text"":""Celtic"",""labels"":[""TEAM""]}]",48.637,"She becomes the Seagulls' first signing of the January window, having played 26 times for Celtic this season in all competitions.","2025-01-25T12:25:52.531541Z"
29,"1","2025-01-25T12:26:19.338910Z",136,"[{""start"":17,""end"":28,""text"":""Hayley Ladd"",""labels"":[""PLAYR""]},{""start"":0,""end"":5,""text"":""Wales"",""labels"":[""TEAM""]},{""start"":92,""end"":109,""text"":""Manchester United"",""labels"":[""TEAM""]},{""start"":113,""end"":120,""text"":""Everton"",""labels"":[""TEAM""]}]",26.39,"Wales midfielder Hayley Ladd has not found things easy this season, but a January move from Manchester United to Everton could be just what she needed.","2025-01-25T12:26:19.338910Z"
30,"1","2025-01-25T12:26:54.055781Z",137,"[{""start"":112,""end"":129,""text"":""Dominique Janssen"",""labels"":[""PLAYR""]}]",34.276,"She had been a key player under manager Marc Skinner but began to be overlooked following the summer arrival of Dominique Janssen.","2025-01-25T12:26:54.055781Z"
31,"1","2025-01-25T12:27:11.486886Z",138,"[{""start"":19,""end"":25,""text"":""United"",""labels"":[""TEAM""]},{""start"":27,""end"":31,""text"":""Ladd"",""labels"":[""PLAYR""]}]",17.056,"During her time at United, Ladd played in front of a vocal fan base at Leigh Sports Village.","2025-01-25T12:27:11.486886Z"
32,"1","2025-01-25T12:28:06.109875Z",139,"[{""start"":19,""end"":26,""text"":""Everton"",""labels"":[""TEAM""]},{""start"":73,""end"":77,""text"":""Ladd"",""labels"":[""PLAYR""]}]",54.191,"It is a new era at Everton under the ownership of the Freidkin Group and Ladd is one of five players to join this month as Sorensen adds more depth.","2025-01-25T12:28:06.109875Z"
33,"1","2025-01-25T12:28:15.693643Z",140,"[{""start"":16,""end"":27,""text"":""Lily Murphy"",""labels"":[""PLAYR""]},{""start"":39,""end"":54,""text"":""Manchester City"",""labels"":[""TEAM""]},{""start"":64,""end"":81,""text"":""Manchester United"",""labels"":[""TEAM""]}]",9.109,"Teenage forward Lily Murphy starred as Manchester City defeated Manchester United 2-1 to reach the semi-finals of the Women's League Cup.","2025-01-25T12:28:15.693643Z"
34,"1","2025-01-25T12:28:35.700831Z",141,"[{""start"":32,""end"":39,""text"":""Arsenal"",""labels"":[""TEAM""]},{""start"":68,""end"":75,""text"":""Chelsea"",""labels"":[""TEAM""]},{""start"":86,""end"":94,""text"":""Brighton"",""labels"":[""TEAM""]},{""start"":103,""end"":109,""text"":""Durham"",""labels"":[""TEAM""]}]",19.57,"There were big wins for holders Arsenal and last season's finalists Chelsea, who beat Brighton 4-0 and Durham 5-0 respectively.","2025-01-25T12:28:35.700831Z"
35,"1","2025-01-25T12:28:57.901977Z",142,"[{""start"":0,""end"":4,""text"":""City"",""labels"":[""TEAM""]},{""start"":27,""end"":33,""text"":""Murphy"",""labels"":[""PLAYR""]},{""start"":114,""end"":127,""text"":""Millie Turner"",""labels"":[""PLAYR""]},{""start"":139,""end"":143,""text"":""City"",""labels"":[""TEAM""]},{""start"":196,""end"":202,""text"":""United"",""labels"":[""TEAM""]}]",21.786,"City's 18-year-old forward Murphy scored and assisted in the first half at Leigh Sports Village, either side of a Millie Turner strike, as City avenged Sunday's 4-2 Women's Super League defeat by United.","2025-01-25T12:28:57.901977Z"
36,"1","2025-01-25T12:29:17.124447Z",143,"[{""start"":20,""end"":37,""text"":""Elisabeth Terland"",""labels"":[""PLAYR""]},{""start"":91,""end"":97,""text"":""United"",""labels"":[""TEAM""]}]",18.782,"The introduction of Elisabeth Terland early in the second half injected fresh impetus into United's attacks, but the Norwegian striker volleyed wide when gifted a chance to equalise.","2025-01-25T12:29:17.124447Z"
37,"1","2025-01-25T12:29:35.841536Z",144,"[{""start"":46,""end"":54,""text"":""Brighton"",""labels"":[""TEAM""]},{""start"":108,""end"":125,""text"":""Mariona Caldentey"",""labels"":[""PLAYR""]},{""start"":185,""end"":197,""text"":""Melina Loeck"",""labels"":[""PLAYR""]},{""start"":208,""end"":220,""text"":""Frida Maanum"",""labels"":[""PLAYR""]}]",18.258,"The holders were frustrated for 65 minutes by Brighton's determined defensive performance before substitute Mariona Caldentey changed the game, pouncing on a loose pass from goalkeeper Melina Loeck to set up Frida Maanum's opener.","2025-01-25T12:29:35.841536Z"
38,"1","2025-01-25T12:29:59.429131Z",145,"[{""start"":31,""end"":43,""text"":""Katie McCabe"",""labels"":[""PLAYR""]},{""start"":54,""end"":61,""text"":""Arsenal"",""labels"":[""TEAM""]},{""start"":96,""end"":105,""text"":""Caldentey"",""labels"":[""PLAYR""]},{""start"":144,""end"":161,""text"":""Kyra Cooney-Cross"",""labels"":[""PLAYR""]},{""start"":8,""end"":16,""text"":""Brighton"",""labels"":[""TEAM""]}]",23.173,"Another Brighton error allowed Katie McCabe to double Arsenal's lead three minutes later before Caldentey turned provider once again, teeing up Kyra Cooney-Cross, who curled home a rocket from outside the box.","2025-01-25T12:29:59.429131Z"
39,"1","2025-01-25T12:30:25.808240Z",146,"[{""start"":157,""end"":175,""text"":""Aggie Beever-Jones"",""labels"":[""PLAYR""]},{""start"":0,""end"":6,""text"":""Durham"",""labels"":[""TEAM""]}]",25.947,"Durham, the lowest-ranked side left in the competition, held their own for the first 45 minutes and went into the break only 1-0 down, having conceded to an Aggie Beever-Jones header.","2025-01-25T12:30:25.808240Z"
40,"1","2025-01-25T12:31:31.713689Z",147,"[{""start"":0,""end"":5,""text"":""Spurs"",""labels"":[""TEAM""]},{""start"":28,""end"":41,""text"":""Martha Thomas"",""labels"":[""PLAYR""]},{""start"":79,""end"":92,""text"":""Eleanor Heeps"",""labels"":[""PLAYR""]},{""start"":148,""end"":157,""text"":""Tottenham"",""labels"":[""TEAM""]},{""start"":172,""end"":180,""text"":""West Ham"",""labels"":[""TEAM""]},{""start"":212,""end"":226,""text"":""Seraina Piubel"",""labels"":[""PLAYR""]}]",65.429,"Spurs took the lead through Martha Thomas, who guided her header expertly past Eleanor Heeps on 10 minutes. Despite their early dominance, however, Tottenham conceded from West Ham's first shot on target through Seraina Piubel.","2025-01-25T12:31:31.713689Z"
41,"1","2025-01-25T12:31:47.202720Z",148,"[{""start"":0,""end"":12,""text"":""Kirsty Smith"",""labels"":[""PLAYR""]},{""start"":67,""end"":74,""text"":""Hammers"",""labels"":[""TEAM""]}]",15.047,"Kirsty Smith's free-kick on the stroke of half-time won it for the Hammers as her long-range ball evaded everyone in the penalty area and found a way inside the post.","2025-01-25T12:31:47.202720Z"
42,"1","2025-01-25T12:33:47.923764Z",149,"[{""start"":0,""end"":7,""text"":""Arsenal"",""labels"":[""TEAM""]},{""start"":48,""end"":66,""text"":""Gabriel Martinelli"",""labels"":[""PLAYR""]},{""start"":94,""end"":105,""text"":""Declan Rice"",""labels"":[""PLAYR""]},{""start"":116,""end"":127,""text"":""Kai Havertz"",""labels"":[""PLAYR""]},{""start"":178,""end"":184,""text"":""Zagreb"",""labels"":[""TEAM""]},{""start"":192,""end"":205,""text"":""Ivan Nevistic"",""labels"":[""PLAYR""]}]",120.306,"Arsenal took the lead in the second minute when Gabriel Martinelli's cross was cushioned into Declan Rice's path by Kai Havertz and the England midfielder hammered the ball past Zagreb keeper Ivan Nevistic.","2025-01-25T12:33:47.923764Z"
43,"1","2025-01-25T12:34:00.853601Z",150,"[{""start"":4,""end"":11,""text"":""Gunners"",""labels"":[""TEAM""]},{""start"":37,""end"":41,""text"":""Rice"",""labels"":[""PLAYR""]},{""start"":76,""end"":84,""text"":""Odegaard"",""labels"":[""PLAYR""]},{""start"":108,""end"":115,""text"":""Gabriel"",""labels"":[""PLAYR""]}]",12.47,"The Gunners could have scored more - Rice had a shot blocked after a clever Odegaard pass while centre-back Gabriel headed wide from the edge of the six-yard-box from a corner.","2025-01-25T12:34:00.853601Z"
44,"1","2025-01-25T12:34:08.497417Z",151,"[{""start"":0,""end"":16,""text"":""Paris St-Germain"",""labels"":[""TEAM""]},{""start"":25,""end"":42,""text"":""Randal Kolo Muani"",""labels"":[""PLAYR""]},{""start"":54,""end"":62,""text"":""Juventus"",""labels"":[""TEAM""]}]",7.236,"Paris St-Germain forward Randal Kolo Muani has joined Juventus on loan until the end of the season.","2025-01-25T12:34:08.497417Z"
45,"1","2025-01-25T12:34:44.938342Z",152,"[{""start"":0,""end"":10,""text"":""Kolo Muani"",""labels"":[""PLAYR""]},{""start"":109,""end"":128,""text"":""Eintracht Frankfurt"",""labels"":[""TEAM""]},{""start"":69,""end"":75,""text"":""Nantes"",""labels"":[""TEAM""]}]",36.033,"Kolo Muani grew up in the outskirts of Paris and began his career at Nantes before moving to Bundesliga club Eintracht Frankfurt.","2025-01-25T12:34:44.938342Z"
46,"1","2025-01-25T12:35:28.773720Z",153,"[{""start"":13,""end"":23,""text"":""Fenerbahce"",""labels"":[""TEAM""]},{""start"":48,""end"":60,""text"":""Diego Carlos"",""labels"":[""PLAYR""]},{""start"":66,""end"":77,""text"":""Aston Villa"",""labels"":[""TEAM""]}]",43.377,"Turkish side Fenerbahce have signed centre-back Diego Carlos from Aston Villa for an undisclosed fee.","2025-01-25T12:35:28.773720Z"
47,"1","2025-01-25T12:35:38.212188Z",154,"[{""start"":0,""end"":11,""text"":""Real Madrid"",""labels"":[""TEAM""]},{""start"":121,""end"":138,""text"":""Red Bull Salzburg"",""labels"":[""TEAM""]}]",9.025,"Real Madrid gave their ambitions to defend their Champions League title a huge boost with a comfortable win to eliminate Red Bull Salzburg.","2025-01-25T12:35:38.212188Z"
48,"1","2025-01-25T12:37:46.760404Z",155,"[{""start"":153,""end"":160,""text"":""Rodrygo"",""labels"":[""PLAYR""]},{""start"":181,""end"":194,""text"":""Kylian Mbappe"",""labels"":[""PLAYR""]},{""start"":208,""end"":219,""text"":""Vinicius Jr"",""labels"":[""PLAYR""]},{""start"":47,""end"":53,""text"":""Madrid"",""labels"":[""TEAM""]}]",128.092,"After losing three of their opening six games, Madrid looked more like their usual selves as they dispatched the Austrians with a first-half double from Rodrygo, before a goal from Kylian Mbappe and two from Vinicius Jr - taking his tally to 101 for the club - followed after the break.","2025-01-25T12:37:46.760404Z"
49,"1","2025-01-25T12:38:06.033147Z",156,"[{""start"":0,""end"":8,""text"":""Vinicius"",""labels"":[""PLAYR""]},{""start"":119,""end"":130,""text"":""Luka Modric"",""labels"":[""PLAYR""]},{""start"":219,""end"":227,""text"":""Blaswich"",""labels"":[""PLAYR""]}]",18.853,"Vinicius, who moved to seven goals in six Champions League games, made it 4-0 after 55 minutes, collecting a brilliant Luka Modric pass and cutting into the box from the left before curling a right-footed effort beyond Blaswich.","2025-01-25T12:38:06.033147Z"
50,"1","2025-01-25T12:38:15.181128Z",157,"[{""start"":0,""end"":7,""text"":""Rodrygo"",""labels"":[""PLAYR""]},{""start"":34,""end"":42,""text"":""Vinicius"",""labels"":[""PLAYR""]},{""start"":47,""end"":53,""text"":""Mbappe"",""labels"":[""PLAYR""]}]",8.751,"Rodrygo, often less heralded than Vinicius and Mbappe, continues to be a reliable source of quality and important goals.","2025-01-25T12:38:15.181128Z"
51,"1","2025-01-25T12:40:13.831630Z",158,"[{""start"":11,""end"":17,""text"":""Mbappe"",""labels"":[""PLAYR""]},{""start"":86,""end"":92,""text"":""Madrid"",""labels"":[""TEAM""]}]",118.263,"Meanwhile, Mbappe, who is finally starting to meet expectations after a poor start in Madrid, became only the eighth player to register 75 Champions League goal involvements.","2025-01-25T12:40:13.831630Z"
52,"1","2025-01-25T12:40:48.746022Z",159,"[{""start"":0,""end"":13,""text"":""Leon Goretzka"",""labels"":[""PLAYR""]},{""start"":30,""end"":43,""text"":""Bayern Munich"",""labels"":[""TEAM""]},{""start"":60,""end"":69,""text"":""Wolfsburg"",""labels"":[""TEAM""]}]",34.498,"Leon Goretzka scored twice as Bayern Munich held on against Wolfsburg to go seven points clear at the top of the Bundesliga table.","2025-01-25T12:40:48.746022Z"
53,"1","2025-01-25T12:42:39.370761Z",160,"[{""start"":4,""end"":17,""text"":""Michael Olise"",""labels"":[""PLAYR""]},{""start"":180,""end"":193,""text"":""Kamil Grabara"",""labels"":[""PLAYR""]},{""start"":39,""end"":53,""text"":""Crystal Palace"",""labels"":[""TEAM""]},{""start"":71,""end"":77,""text"":""Bayern"",""labels"":[""TEAM""]},{""start"":159,""end"":168,""text"":""Wolfsburg"",""labels"":[""TEAM""]}]",110.227,"But Michael Olise, a £45m signing from Crystal Palace last summer, put Bayern back in front six minutes before the break with his 10th goal of the season when Wolfsburg goalkeeper Kamil Grabara spilled the France international's long-range effort.","2025-01-25T12:42:39.370761Z"
54,"1","2025-01-25T12:43:27.689749Z",161,"[{""start"":0,""end"":6,""text"":""Bayern"",""labels"":[""TEAM""]},{""start"":45,""end"":53,""text"":""Goretzka"",""labels"":[""PLAYR""]},{""start"":123,""end"":128,""text"":""Olise"",""labels"":[""PLAYR""]}]",47.874,"Bayern did go 3-1 up in the 62nd minute when Goretzka struck his second of the afternoon just after the hour mark, heading Olise's free-kick into the bottom corner.","2025-01-25T12:43:27.689749Z"
55,"1","2025-01-25T12:43:53.217999Z",162,"[{""start"":0,""end"":15,""text"":""Estevao Willian"",""labels"":[""PLAYR""]}]",25.147,"Estevao Willian has been awarded two individual awards for his performances in the Brasileiro during 2024.","2025-01-25T12:43:53.217999Z"
56,"1","2025-01-25T12:44:41.035777Z",163,"[{""start"":9,""end"":26,""text"":""Borussia Dortmund"",""labels"":[""TEAM""]},{""start"":31,""end"":40,""text"":""Barcelona"",""labels"":[""TEAM""]}]",47.403,"Preview: Borussia Dortmund vs. Barcelona - prediction, team news, lineups","2025-01-25T12:44:41.035777Z"
57,"1","2025-01-25T12:46:24.051905Z",164,"[{""start"":0,""end"":17,""text"":""Nottingham Forest"",""labels"":[""TEAM""]},{""start"":23,""end"":31,""text"":""West Ham"",""labels"":[""TEAM""]},{""start"":33,""end"":44,""text"":""Southampton"",""labels"":[""TEAM""]}]",102.565,"Nottingham Forest join West Ham, Southampton in race for 31-goal attacker?","2025-01-25T12:46:24.051905Z"
58,"1","2025-01-25T12:47:08.909275Z",165,"[{""start"":0,""end"":6,""text"":""Monaco"",""labels"":[""TEAM""]},{""start"":18,""end"":25,""text"":""Arsenal"",""labels"":[""TEAM""]},{""start"":70,""end"":85,""text"":""Folarin Balogun"",""labels"":[""PLAYR""]}]",44.424,"Monaco lineup vs. Arsenal: Predicted XI for Champions League clash as Folarin Balogun denied reunion","2025-01-25T12:47:08.909275Z"
59,"1","2025-01-25T12:47:26.013759Z",166,"[{""start"":40,""end"":52,""text"":""Thilo Kehrer"",""labels"":[""PLAYR""]},{""start"":57,""end"":72,""text"":""Mohammed Salisu"",""labels"":[""PLAYR""]},{""start"":111,""end"":127,""text"":""Radoslaw Majecki"",""labels"":[""PLAYR""]},{""start"":150,""end"":159,""text"":""Vanderson"",""labels"":[""PLAYR""]},{""start"":164,""end"":177,""text"":""Caio Henrique"",""labels"":[""PLAYR""]}]",16.681,"As a result, former Premier League pair Thilo Kehrer and Mohammed Salisu should line up in front of goalkeeper Radoslaw Majecki, while Brazilian pair Vanderson and Caio Henrique bomb down the flanks.","2025-01-25T12:47:26.013759Z"
60,"1","2025-01-25T12:48:06.106890Z",167,"[{""start"":0,""end"":7,""text"":""Chelsea"",""labels"":[""TEAM""]},{""start"":44,""end"":55,""text"":""Romeo Lavia"",""labels"":[""PLAYR""]},{""start"":36,""end"":42,""text"":""Astana"",""labels"":[""TEAM""]}]",39.662,"Chelsea injury, suspension news vs. Astana: Romeo Lavia added to sidelined list","2025-01-25T12:48:06.106890Z"
